label,lda_logr_classes,lda_logr_distances,lda_gini_classes,lda_gini_distances,lda_perm_classes,lda_perm_distances,lda_shap_classes,lda_shap_distances,lda_uppr_classes,lda_uppr_distances,lda_lowr_classes,lda_lowr_distances,lda_allf_classes,lda_allf_distances
baseball-back-support-grip-tuck,"['reverse-grab-attitude', 'knee-hold-remi-sit', 'chair-pike']","[2.0822459218452636, 2.8131017247723022, 4.707703199111407]","['reverse-grab-attitude', 'strong-hold-straddle', 'chair-pike']","[1.3173559435217825, 2.7264604888245074, 5.501724879920431]","['shoulder-mount-tuck', 'split-grip-cupid', 'hook-knee-two-hands']","[0.05028201876961891, 0.29411106805980314, 0.3164311267446873]","['chair-pike', 'one-hand-twisted-spin-rght', 'reverse-grab-attitude']","[0.2442306947267454, 5.08433120558751, 5.21394140088956]","['knee-hold-remi-sit', 'one-hand-twisted-spin-rght', 'chair-pike']","[0.9132753108568821, 1.2665262827208537, 1.2839925285165847]","['armpit-hold-seated', 'elbow-grip-seated', 'superman-scissors']","[0.5706967549232616, 1.1523471381406765, 1.3936759379128318]","['leg-hang-scorpion-flatliner', 'fireman-seat', 'shoulder-mount-split']","[1.017319237459894, 1.3982141531488068, 1.821262261418049]"
bridge,"['handstand-forearm-passe', 'armpit-hold-passe', 'split-grip-tucked-passe']","[0.10227758951397092, 0.11708890015376561, 2.190952092628537]","['leg-hold-inverted-crucifix', 'split-grip-tucked-passe', 'handstand-forearm-passe']","[0.2918110995587515, 1.53624897130444, 1.895974045524465]","['shoulder-mount', 'stomach-hold-vertical-duchess', 'flag-grip-pencil']","[0.01694047341779853, 0.06467137564441211, 0.06762881021999012]","['knee-hold-genie-release', 'split-grip-cupid', 'shoulder-mount-lock']","[0.7904323437041993, 0.8951048362770733, 1.1241582982349643]","['shoulder-mount-plank', 'shoulder-mount-pencil', 'back-hold-allergra-split']","[0.07813028542185751, 0.09510975322448978, 0.28519315140042245]","['knee-hold-genie-release', 'split-grip-tucked-spin', 'strong-hold-side-split']","[0.03326808761377187, 0.24447131478246775, 0.3115733215514588]","['leg-hold-inverted-crucifix', 'shoulder-mount-attitude', 'strong-hold-inverted-tuck']","[1.188972639111256, 1.8393832857391956, 2.065634616833486]"
chair-passe,"['shoulder-mount-plank-passe-hold', 'knee-hold-marley-release', 'pole-walk']","[0.10510814446674743, 1.9976150415235239, 2.3716153961483606]","['shoulder-mount-plank-passe-hold', 'superman-armpit-grip', 'split-grip-apprentice']","[0.10577333627652763, 1.5015304730774943, 1.7020489443740896]","['fireman-hollywood', 'fireman-knee-hold', 'knee-hold-genie-release']","[0.04083252590930542, 0.1279897692050147, 0.17420038851705222]","['split-grip-front-split', 'pole-walk', 'split-grip-apprentice']","[0.9347647004481772, 2.284540668804839, 3.191121530259224]","['pole-walk', 'stomach-hold-passe-spaceflight', 'strong-hold-inverted-split']","[0.8116131322826909, 0.8550362445745492, 1.7935224617458]","['handstand-forearm-pencil', 'back-hold-allergra', 'one-hand-pencil']","[0.20167929944133434, 0.3179791958064584, 0.7500267841731123]","['split-grip-front-split', 'wrist-sit-straddle', 'superman-armpit-grip']","[0.09123735613097494, 0.4554283287048122, 0.455612529595669]"
chair-pike,"['baseball-back-support-grip-foward-pike', 'baseball-back-support-grip-tuck', 'knee-hook-back']","[3.8539183631263825, 4.707703199111407, 5.544431117887015]","['baseball-back-support-grip-foward-pike', 'baseball-back-support-grip-tuck', 'knee-hook-back']","[4.299735301318748, 5.501724879920431, 5.502719146849451]","['one-hand-pencil', 'forearm-grip-inverted-pencil', 'split-grip-backward-split']","[0.00772868365924495, 0.008532209325601947, 0.020372895868384866]","['baseball-back-support-grip-tuck', 'reverse-grab-attitude', 'one-hand-twisted-spin-rght']","[0.2442306947267454, 4.9697107061628145, 5.328561900314256]","['baseball-back-support-grip-tuck', 'knee-hold-remi-sit', 'one-hand-twisted-spin-rght']","[1.2839925285165847, 2.197267839373467, 2.5505188112374384]","['knee-hold-one-knee-genie', 'split-grip-side-spin', 'fireman-knee-hold']","[0.027448033298078656, 1.8378081872989824, 3.1197575999593994]","['baseball-back-support-grip-foward-pike', 'knee-hold-one-knee-genie', 'fireman-knee-hold']","[1.898716910492027, 2.3246176798372247, 3.789430011807994]"
chair-seated,"['knee-hold-remi-sit-release', 'one-hand-twisted-spin-rght', 'armpit-hold-seated']","[0.19498943928104495, 0.7540734885070819, 0.7587753098962153]","['armpit-hold-forward-pike', 'knee-hold-remi-sit-release', 'knee-hold-one-knee-genie']","[0.392005497905366, 0.46302981372184604, 0.9027362329626456]","['knee-hold-genie', 'split-grip-stag', 'knee-hold-remi-sit']","[0.6252556900898494, 0.7247252595094071, 1.117590606642965]","['armpit-hold-forward-pike', 'baseball-back-support-grip-foward-pike', 'reverse-grab-fang']","[0.02598307830648139, 0.28619505769975007, 0.5058463060700831]","['reverse-grab-fang', 'knee-hold-remi-sit-release', 'armpit-hold-forward-pike']","[0.16882129032804727, 0.9475710683663792, 1.2070545089286995]","['fireman-piker', 'reverse-grab-ballerina', 'baseball-back-support-grip-foward-pike']","[0.5045168866905811, 0.6474408106432676, 1.1965877611494236]","['fireman-piker', 'split-grip-straddle', 'reverse-grab-straddle']","[0.07874315636792772, 0.3549122737843078, 0.950597591066078]"
cross-grip-straddle,"['shoulder-mount-pencil', 'armpit-hold-dart', 'leg-hold-inverted-crucifix-release']","[0.31020088881860763, 0.6159781938455008, 0.7456160458323515]","['knee-hold-genie', 'split-grip-tucked-spin', 'shoulder-mount']","[0.1064579616375049, 0.5116228566287174, 0.6852976299498268]","['wrist-sit-straddle', 'baseball-back-support-grip-foward-pike', 'split-grip-side-v']","[0.017909636895951486, 0.13508633365407174, 0.1832865502321681]","['knee-hold-cupid', 'shoulder-mount', 'stomach-hold-duchess-passe']","[0.0415554675726697, 0.0966347349773426, 0.12179475717014271]","['split-grip-tucked-spin', 'shoulder-mount-hangman', 'elbow-grip-straddle']","[0.0023260771189224094, 0.8982400313374803, 0.938366634964819]","['strong-hold-side-split', 'bridge', 'knee-hold-genie-release']","[0.14821677552459867, 0.45979009707605745, 0.4930581846898293]","['knee-hold-marley', 'iguana-grip-bow-and-arrow', 'back-hold-allergra-split']","[0.6741515928133515, 0.8434865001502578, 0.9402575822857355]"
crossed-knee-layback,"['handstand-forearm-fang', 'tuck-hold', 'iguana-grip-fang']","[2.769100267896782, 3.144203712481051, 3.44036376798136]","['handstand-forearm-fang', 'iguana-grip-fang', 'handstand-bridged']","[0.5574272986318292, 1.8469587610391116, 1.9419910115976506]","['outside-knee-hook-jasmine', 'shoulder-mount-straddle', 'one-hand-twisted-spin-rght']","[0.21846782042431356, 0.3637740842360697, 0.369040550436202]","['shoulder-mount-straddle', 'split-grip-inverted-butterfly', 'iguana-grip-fang']","[0.5666377620355618, 0.5911478208509138, 2.8417591420353077]","['leg-hang-needle', 'shoulder-mount-straddle', 'crossed-knee-release']","[0.08663037720675248, 0.48999572678722814, 0.5884506133184004]","['crossed-knee-stargazer', 'iguana-grip-fang', 'handstand-bridged']","[1.929494509758328, 3.529257826925601, 4.19254193476381]","['handstand-floor-handspring', 'stomach-hold-inverted-pike', 'leg-hang-needle']","[0.45514469282665004, 4.816910121327481, 4.964239991744648]"
crossed-knee-release,"['elbow-grip-inverted-ayesha', 'outside-knee-hook-inverted', 'handstand-bridged']","[0.251889979717447, 1.078022558992977, 1.2250310011295937]","['outside-knee-hook-inverted', 'elbow-grip-inverted-ayesha', 'handstand-floor-handspring']","[1.2665177005212342, 3.1943779260488654, 4.117925863238511]","['fireman-half-pike', 'fireman-seat', 'strong-hold-inverted-tuck']","[0.12719453698926309, 0.21934216972328002, 0.4693364454529547]","['elbow-grip-inverted-ayesha', 'handstand-bridged', 'handstand-forearm-fang']","[1.4114277121288126, 1.8840317340555117, 2.9042407955774294]","['shoulder-mount-straddle', 'split-grip-inverted-butterfly', 'leg-hang-needle']","[0.09845488653117229, 0.32972809025283567, 0.5018202361116479]","['stomach-hold-inverted-pike', 'outside-knee-hook-inverted', 'knee-hold-bridge']","[3.663182536029865, 4.51628376850752, 7.778188405154893]","['twisted-grip-inverted-straddle', 'handstand-forearm-fang', 'split-grip-inverted-fang']","[1.186335999786209, 5.549554747631262, 8.876215051480244]"
crossed-knee-stargazer,"['split-grip-inverted-butterfly', 'iguana-grip-fang', 'leg-hang-needle']","[0.3393255830631787, 0.5579635502914968, 1.383401355005546]","['split-grip-inverted-butterfly', 'thigh-hold-dragon-fly', 'leg-hang-needle']","[0.07594286784977555, 1.6532923913903446, 2.8311628039219983]","['elbow-grip-fang', 'split-grip-inverted-fang', 'tuck-hold']","[0.04433365455083127, 0.13898194956422794, 0.19766664239154919]","['iguana-grip-fang', 'leg-hang-needle', 'split-grip-inverted-butterfly']","[0.26985280627008734, 0.6476636665504145, 2.5204641274544812]","['crossed-knee-layback', 'leg-hang-needle', 'shoulder-mount-straddle']","[2.343157053907035, 2.4297874311137875, 2.833152780694263]","['crossed-knee-layback', 'handstand-floor-handspring', 'elbow-grip-inverted-ayesha']","[1.929494509758328, 2.3325503484248316, 4.013674885635638]","['leg-hang-needle', 'elbow-grip-inverted-ayesha', 'handstand-tucked']","[0.7002711388755358, 4.870149614703763, 4.968217601835654]"
elbow-grip-butterfly,"['thigh-hold-dragon-fly', 'leg-hang-needle', 'split-grip-inverted-butterfly']","[0.12096735202734266, 2.448100887013652, 3.4921766589560193]","['shoulder-mount-straddle', 'strong-hold-inverted-straddle', 'leg-hang-needle']","[1.591744593955184, 1.6598364165003616, 3.1772347548958493]","['shoulder-mount-lock', 'leg-hang-scorpion', 'handstand-onehand']","[0.05840593339568101, 0.12412663966109139, 0.13697221748807564]","['shoulder-mount-jack-knife', 'strong-hold-inverted-straddle', 'shoulder-mount-princess-grip-straddle']","[0.9487550047879267, 1.0107664323470047, 1.6405303046499427]","['outside-knee-hook-jasmine', 'crossed-knee-stargazer', 'shoulder-mount-jack-knife']","[1.415554778268671, 3.3419489286323625, 4.599882152561044]","['iguana-grip-inverted-v', 'iguana-grip-pixie', 'flag-grip-pencil']","[0.18968002833859288, 0.21700875233026196, 1.956086791240029]","['shoulder-mount-straddle', 'iguana-grip-pixie', 'strong-hold-inverted-straddle']","[0.3109573814823676, 2.4408841049880152, 2.531652924068972]"
elbow-grip-fang,"['handstand-tucked', 'twisted-grip-inverted-straddle', 'split-grip-inverted-fang']","[3.2276075410995446, 4.823803338241461, 4.883161539533788]","['split-grip-inverted-fang', 'handstand-tucked', 'stomach-hold-inverted-pike']","[3.0806273707667486, 4.586218632366098, 5.584268712850161]","['crossed-knee-stargazer', 'split-grip-inverted-fang', 'tuck-hold']","[0.04433365455083127, 0.1833156041150592, 0.24200029694238046]","['split-grip-inverted-fang', 'handstand-tucked', 'stomach-hold-inverted-pike']","[0.584404879562527, 3.791654873316247, 8.285230385638641]","['handstand-tucked', 'split-grip-inverted-fang', 'stomach-hold-inverted-pike']","[1.8189156615352573, 2.5269675853432005, 6.468706309006691]","['split-grip-inverted-fang', 'twisted-grip-inverted-straddle', 'knee-hold-bridge']","[1.8164727441879478, 6.1995611386007425, 8.42645066905358]","['knee-hold-bridge', 'split-grip-inverted-fang', 'crossed-knee-release']","[0.6416587329089225, 7.140600035388431, 16.016815086868675]"
elbow-grip-inverted-ayesha,"['crossed-knee-release', 'outside-knee-hook-inverted', 'handstand-bridged']","[0.251889979717447, 0.8261325792755301, 1.4769209808470407]","['outside-knee-hook-inverted', 'crossed-knee-release', 'tuck-hold']","[1.9278602255276311, 3.1943779260488654, 3.2383173832689636]","['armpit-hold-forward-pike', 'split-grip-pancake-split', 'stomach-hold-front-split']","[0.01926350154030043, 0.027252694445544456, 0.07737637905910955]","['crossed-knee-release', 'outside-knee-hook-inverted', 'handstand-bridged']","[1.4114277121288126, 2.4558989448118425, 3.2954594461843243]","['handstand-bridged', 'outside-knee-hook-inverted', 'handstand-forearm-fang']","[0.0476671603489649, 1.249352117058848, 2.3184920133464075]","['handstand-floor-handspring', 'split-grip-inverted-butterfly', 'crossed-knee-stargazer']","[1.6811245372108061, 3.527629257671073, 4.013674885635638]","['handstand-tucked', 'tuck-hold', 'crossed-knee-stargazer']","[0.09806798713189124, 4.745387814601216, 4.870149614703763]"
elbow-grip-pencil,"['stomach-hold-inverted-tuck', 'handstand-pole', 'handstand-butterfly']","[0.033067535736538645, 0.23079027359346682, 0.9466947901892127]","['stomach-hold-front-split', 'handstand-forearm-attitude', 'leg-hang-scorpion-hold']","[0.10842367652735163, 1.7195724021600611, 1.936049248601364]","['split-grip-apprentice', 'forearm-grip-pencil', 'leg-hold-crucifix']","[0.17640956819207565, 0.2505841414814982, 0.26958825466740755]","['stomach-hold-front-split', 'handstand-forearm-attitude', 'armpit-hold-passe']","[1.1838079857581718, 1.7819675375323278, 1.910482321596806]","['leg-hang-scorpion-hold', 'armpit-hold-passe', 'handstand-pole']","[0.21033161795670097, 0.42928804536361653, 0.5064982012408272]","['ankle-grip-bow-and-arrow', 'thigh-hold-release', 'split-grip-cupid']","[1.0810509112153923, 1.1448568053452206, 1.3531959717444444]","['handstand-pole', 'handstand-butterfly', 'leg-hang-scorpion-hold']","[0.08093675855547744, 0.3238212669361751, 0.70487914391353]"
elbow-grip-seated,"['hook-knee-two-hands', 'superman-scissors', 'fireman-hollywood']","[0.8403883505218914, 1.5897192486813516, 1.6187304106979035]","['fireman-hollywood', 'shoulder-mount-split', 'reverse-grab-ballerina']","[0.5807507344426028, 0.7785142454256935, 1.186761159849695]","['knee-hold-bridge', 'knee-hold-remi-sit-release', 'knee-hold-remi-sit']","[0.05342684559429678, 0.08605642156079263, 0.24762872303465677]","['split-grip-pencil', 'fireman-half-pike', 'reverse-grab-pencil']","[0.7367819030542186, 1.0191590146239697, 1.2397042251996169]","['one-hand-twisted-lateral-spin', 'superman-scissors', 'fireman-hollywood']","[0.8375826643745086, 0.8956260018162929, 1.5115524577228214]","['superman-scissors', 'fireman-half-pike', 'shoulder-mount-split']","[0.24132879977215538, 0.36207249515890183, 0.835134335814633]","['fireman-half-pike', 'fireman-hollywood', 'armpit-hold-seated']","[0.10038546987543029, 0.14408395155541953, 0.817659411199795]"
elbow-grip-straddle,"['knee-hold-daredevil', 'leg-hold-crucifix', 'split-grip-tucked-spin']","[0.11570356844994012, 0.5651017052869152, 0.7942732462527546]","['shoulder-mount-plank', 'knee-hold-daredevil', 'leg-hold-crucifix']","[0.27860089196225646, 0.4254443631651088, 0.5964510511501029]","['handstand-split', 'split-grip-inverted-butterfly-extended', 'iguana-grip-inverted-v']","[0.01226526882537815, 0.06500673780184663, 0.07949996098195555]","['split-grip-tucked-spin', 'back-hold-allergra-split', 'iguana-grip-pencil']","[0.19674557510613466, 0.2632091579529843, 0.306576366465958]","['shoulder-mount-hangman', 'leg-hold-inverted-crucifix', 'split-grip-tucked-passe']","[0.040126603627338664, 0.43587078754751296, 0.5035998396786319]","['flag-grip-straddle', 'back-hold-allergra-split', 'stomach-hold-inverted-tuck']","[0.0635688151740057, 0.28977658020757247, 0.32668086985094047]","['shoulder-mount-lock', 'shoulder-mount-plank', 'knee-hold-cupid']","[0.0848152985855789, 0.43535435193497485, 0.6215776287763712]"
fang-bracket-grip,"['fireman-knee-hold', 'split-grip-stag', 'fireman-piker']","[0.3678726559925778, 0.6151850920403348, 0.6664268309546273]","['fireman-knee-hold', 'reverse-grab-fang', 'one-hand-twisted-spin-rght']","[0.5399387975405219, 0.7094284248234146, 0.8847470557172628]","['iguana-grip-pixie', 'forearm-grip-side-spin', 'reverse-grab-straddle']","[0.040219599055777766, 0.12443738875105781, 0.1904572192345036]","['knee-hook-back', 'knee-hold-one-knee-genie', 'one-hand-twisted-spin-rght']","[0.5082939989648096, 0.542365333846881, 0.9565401986182138]","['strong-hold-fang', 'knee-hook-back', 'split-grip-stag']","[0.3991064170484222, 0.4985979382502421, 1.2737834031122688]","['knee-hook-back', 'strong-hold-straddle', 'one-hand-twisted-spin-rght']","[3.3691334967929762, 3.4493288612719653, 3.8500022735269184]","['reverse-grab-fang', 'reverse-grab-attitude', 'one-hand-twisted-spin-rght']","[2.1226200377415836, 2.223355940619058, 2.6428097857173185]"
fireman-half-pike,"['knee-hook-front', 'reverse-grab-ballerina', 'reverse-grab-straddle']","[0.34441011505613517, 0.6840690100685549, 0.9101758105600837]","['knee-hook-front', 'split-grip-pencil', 'reverse-grab-ballerina']","[0.1177409237577649, 0.17552892751312754, 0.7067151974776138]","['crossed-knee-release', 'strong-hold-inverted-tuck', 'fireman-seat']","[0.12719453698926309, 0.34214190846369164, 0.3465367067125431]","['split-grip-pencil', 'elbow-grip-seated', 'reverse-grab-ballerina']","[0.2823771115697511, 1.0191590146239697, 1.593228340332189]","['reverse-grab-pencil', 'split-grip-pencil', 'reverse-grab-straddle']","[0.25114420892828093, 0.6639773591792348, 1.5418458376470383]","['superman-scissors', 'elbow-grip-seated', 'shoulder-mount-split']","[0.12074369538674645, 0.36207249515890183, 0.4730618406557312]","['elbow-grip-seated', 'fireman-hollywood', 'armpit-hold-seated']","[0.10038546987543029, 0.24446942143084982, 0.7172739413243647]"
